finalPlace,area,detailplace,province,finalPoint,better_distribution
上海市浦东新区浦东大道836弄,浦东新区,浦东大道836弄,上海市,"(31.24628630979101, 121.5336466819264)",1805.9558
上海市浦东新区奚阳公路25号,浦东新区,奚阳公路25号,上海市,"(31.252542922443325, 121.72308332414268)",285.291
上海市浦东新区唐陆路426号,浦东新区,唐陆路426号,上海市,"(31.244250205910852, 121.60213861434853)",460.4123
上海市浦东新区杨高中路1900号近崮山路,浦东新区,杨高中路1900号近崮山路,上海市,"(31.239348709908203, 121.56687617053765)",2212.95843
上海市浦东新区栖山路1389号,浦东新区,栖山路1389号,上海市,"(31.262192636052525, 121.56842098652318)",480.22180000000003
上海市浦东新区金桥路799-5号,浦东新区,金桥路799-5号,上海市,"(31.265527385666612, 121.58397092439253)",704.3301
上海市浦东新区菏泽路139号,浦东新区,菏泽路139号,上海市,"(31.27733240273189, 121.59800155815289)",209.976
上海市浦东新区东陆路856号,浦东新区,东陆路856号,上海市,"(31.281452657529783, 121.59846858718753)",617.007802
上海市浦东新区成山路186号,浦东新区,成山路186号,上海市,"(31.176425418895793, 121.49974427265764)",2574.5533
上海市浦东新区浦三路909号,浦东新区,浦三路909号,上海市,"(31.18970225553777, 121.53688426481492)",5045.6901
上海市浦东新区成山路邹平路路191号,浦东新区,成山路邹平路路191号,上海市,"(31.1782385421865, 121.51578252940224)",608.8755
上海市浦东新区尚博路630号附近,浦东新区,尚博路630号附近,上海市,"(31.155262409766305, 121.52827194039912)",1253.4515999999999
上海市浦东新区和平村蔡家宅600号,浦东新区,和平村蔡家宅600号,上海市,"(31.207050090203317, 121.74072963758069)",2242.99429
上海市浦东新区军港公路326弄10号,浦东新区,军港公路326弄10号,上海市,"(31.074739713785316, 121.85592923448577)",39.2609136
上海市浦东新区文采路188号5幢,浦东新区,文采路188号5幢,上海市,"(30.921116356691012, 121.79743113052325)",997.8701811
上海市浦东新区乐园路3号,浦东新区,乐园路3号,上海市,"(31.28291478656658, 121.6120384800518)",426.728304
